,INSTITUTION,MEAN,MEDIAN,MODE(S),LOWER CI,UPPER CI,REGION
1,New York University,4.9,5,5,4.8,4.9,USA
2,Oxford University,4.5,4.5,5,4.5,4.6,UK
2,"Rutgers University, New Brunswick",4.5,4.5,5,4.4,4.6,USA
4,Princeton University,4.3,4.5,"4.0, 4.5",4.2,4.4,USA
5,"University of Michigan, Ann Arbor",4.2,4,4,4.1,4.3,USA
5,University of Pittsburgh,4.2,4,4,4.1,4.3,USA
7,Yale University,4.1,4,4,4,4.2,USA
8,Massachusetts Institute of Technology,4,4,4,3.9,4.1,USA
8,University of Southern California,4,4,4,3.9,4.1,USA
10,Columbia University,3.9,4,4,3.8,4,USA
10,Harvard University,3.9,4,4,3.8,4,USA
10,Stanford University,3.9,4,4,3.8,4,USA
10,"University of California, Berkeley",3.9,4,4,3.8,4,USA
10,"University of California, Los Angeles",3.9,4,4,3.8,4,USA
10,University of Toronto,3.9,4,4,3.8,4,Canada
16,City University of New York Graduate Center,3.8,4,4,3.7,3.9,USA
16,"University of North Carolina, Chapel Hill",3.8,4,4,3.7,3.9,USA
18,University of Arizona,3.7,4,4,3.6,3.8,USA
19,Cambridge University,3.6,3.5,4,3.5,3.8,UK
19,University of Notre Dame,3.6,3.5,3.5,3.5,3.7,USA
21,Australian National University,3.5,3.5,4,3.3,3.6,ANZ
21,Brown University,3.5,3.5,4,3.4,3.6,USA
21,"University of Texas, Austin",3.5,3.5,3.5,3.4,3.6,USA
24,"University of California, San Diego",3.4,3.5,4,3.3,3.5,USA
24,University of St. Andrews/Stirling Joint Program,3.4,3.5,3,3.2,3.5,UK
26,"King's College, London",3.3,3.5,3,3.2,3.4,UK
26,"University of California, Irvine",3.3,3.5,3,3.2,3.5,USA
26,University of Chicago,3.3,3.5,3.5,3.2,3.4,USA
26,"University of Wisconsin, Madison",3.3,3.5,3,3.2,3.4,USA
26,"Washington University, St. Louis",3.3,3.5,3,3.2,3.4,USA
31,Cornell University,3.2,3,3,3.1,3.3,USA
31,Duke University,3.2,3,3,3.1,3.3,USA
31,University of Sydney,3.2,3,3,3,3.3,ANZ
34,University of Edinburgh,3.1,3,3,3,3.2,UK
34,University of Pennsylvania,3.1,3,3,3,3.2,USA
36,"Indiana University, Bloomington",3,3,3,2.9,3.1,USA
36,Ohio State University,3,3,3,2.9,3.1,USA
36,University of British Columbia,3,3,3,2.8,3.1,Canada
36,"University of Colorado, Boulder",3,3,3,2.9,3,USA
36,"University of Massachusetts, Amherst",3,3,3,2.9,3.1,USA
41,London School of Economics,2.9,3,3,2.8,3.1,UK
41,Northwestern University,2.9,3,3,2.8,3.1,USA
41,"University of California, Riverside",2.9,3,3,2.8,3,USA
41,University of Leeds,2.9,3,3,2.7,3,UK
41,University of Virginia,2.9,3,3,2.8,3,USA
46,Carnegie Mellon University,2.8,3,2.5,2.6,2.9,USA
46,Georgetown University,2.8,3,3,2.6,2.9,USA
46,Syracuse University,2.8,2.5,2.5,2.7,2.9,USA
46,University College London,2.8,3,3,2.7,2.9,UK
46,"University of Connecticut, Storrs",2.8,3,2.5,2.7,3,USA
46,University of Miami,2.8,3,2.5,2.7,2.9,USA
